Date,xiv,vxx,ratio,ma_60,ma_150
2016-09-29,36.029999,35.389999,0.894011658718,0.88112370907,0.898295637721
2016-09-30,37.459999,34.07,0.887744034707,0.880817402165,0.897881022221
2016-10-03,37.82,33.889999,0.896174863388,0.881103685425,0.897707272106
2016-10-04,37.799999,33.77,0.89852700491,0.881303149844,0.897520707953
2016-10-05,38.189999,33.5,0.893171806167,0.881438388759,0.897320125868
2016-10-06,38.5,33.200001,0.889811738649,0.881538829745,0.897070500457
2016-10-07,38.389999,33.279999,0.894937397931,0.881793702443,0.896877665901
2016-10-10,39.189999,32.540001,0.883656509695,0.881838115346,0.896520750873
2016-10-11,37.049999,34.279999,0.902985074627,0.882277898089,0.896300988162
2016-10-12,36.970001,34.369999,0.900052882073,0.882639642552,0.896048321385
2016-10-13,35.900002,35.41,0.912817851583,0.883444912083,0.896039877016
2016-10-14,36.240002,35.060001,0.91013584117,0.884070030664,0.895959934254
2016-10-17,36.389999,34.889999,0.910844629823,0.884781910025,0.895869311333
2016-10-18,37.98,33.5,0.897136797455,0.885028839296,0.895748192608
2016-10-19,38.810001,32.700001,0.888768898488,0.885083108422,0.895574814648
2016-10-20,39.290001,32.279999,0.883505715841,0.885216940318,0.895421711533
2016-10-21,40.080002,31.57,0.879385964912,0.88531733231,0.895267523901
2016-10-24,41.52,30.450001,0.868186874305,0.885413511758,0.895014939544
2016-10-25,41.099998,30.73,0.875900277008,0.885539135844,0.894793668663
2016-10-26,40.009998,31.469999,0.885558583106,0.885643581471,0.894625607905
2016-10-27,39.349998,32.040001,0.900053163211,0.886047517634,0.89454420759
2016-10-28,37.650002,33.43,0.912769311613,0.886722119986,0.894636983189
2016-10-31,36.93,34.139999,0.928237129485,0.887847466876,0.894866435156
