Date,Open,High,Low,Close,Adj Close,Volume
25/02/2016,3.515,3.59,3.435,3.59,3.59,685800
26/02/2016,3.655,3.67,3.5,3.54,3.54,1714400
29/02/2016,3.545,3.645,3.485,3.485,3.485,506500
01/03/2016,3.57,3.78,3.535,3.77,3.77,700500
02/03/2016,3.765,3.84,3.7,3.835,3.835,538000
03/03/2016,3.82,4.005,3.795,3.96,3.96,553700
04/03/2016,4.03,4.05,3.88,3.915,3.915,1084800
07/03/2016,3.835,3.99,3.825,3.895,3.895,402400
08/03/2016,3.81,3.875,3.75,3.755,3.755,378700
09/03/2016,3.805,3.82,3.73,3.805,3.805,315300
10/03/2016,3.86,3.98,3.695,3.865,3.865,1090000
11/03/2016,3.97,4.055,3.945,4.055,4.055,1146000
14/03/2016,4.035,4.145,4,4.135,4.135,454600
15/03/2016,3.995,4.08,3.995,4.075,4.075,275500
16/03/2016,4.04,4.245,4.015,4.21,4.21,485600
17/03/2016,4.21,4.39,4.19,4.34,4.34,381900
18/03/2016,4.4,4.44,4.285,4.375,4.375,372300
21/03/2016,4.37,4.5,4.37,4.49,4.49,238800
22/03/2016,4.435,4.58,4.425,4.55,4.55,348500
23/03/2016,4.505,4.505,4.325,4.34,4.34,253900
24/03/2016,4.185,4.355,4.15,4.355,4.355,291600
28/03/2016,4.38,4.485,4.335,4.41,4.41,203600
29/03/2016,4.39,4.675,4.365,4.665,4.665,237600
30/03/2016,4.755,4.85,4.67,4.775,4.775,671600
31/03/2016,4.74,4.83,4.69,4.73,4.73,196900
01/04/2016,4.595,4.895,4.57,4.89,4.89,307300
04/04/2016,4.895,4.91,4.74,4.75,4.75,283500
05/04/2016,4.575,4.635,4.465,4.48,4.48,367800
06/04/2016,4.49,4.78,4.47,4.77,4.77,367200
07/04/2016,4.64,4.68,4.215,4.33,4.33,1017600
08/04/2016,4.49,4.55,4.365,4.445,4.445,383800
11/04/2016,4.515,4.57,4.375,4.375,4.375,329500
12/04/2016,4.385,4.55,4.285,4.52,4.52,313600
13/04/2016,4.62,4.75,4.61,4.74,4.74,383000
14/04/2016,4.75,4.815,4.67,4.76,4.76,197000
